285: 1.440680, 2.270861 avg, 0.000007 rate, 8.939214 seconds, 18240 images
286: 1.307096, 2.174485 avg, 0.000007 rate, 8.932592 seconds, 18304 images
287: 2.368526, 2.193889 avg, 0.000007 rate, 8.950357 seconds, 18368 images
288: 2.946024, 2.269102 avg, 0.000007 rate, 8.998519 seconds, 18432 images
289: 2.642962, 2.306488 avg, 0.000007 rate, 8.952630 seconds, 18496 images
290: 2.114915, 2.287331 avg, 0.000007 rate, 8.963727 seconds, 18560 images
291: 2.675975, 2.326195 avg, 0.000007 rate, 9.520322 seconds, 18624 images
292: 2.808784, 2.374454 avg, 0.000007 rate, 9.722971 seconds, 18688 images
293: 1.770143, 2.314023 avg, 0.000007 rate, 9.727183 seconds, 18752 images
294: 2.673945, 2.350015 avg, 0.000007 rate, 9.855908 seconds, 18816 images
295: 2.172616, 2.332275 avg, 0.000008 rate, 9.716681 seconds, 18880 images
296: 2.579201, 2.356968 avg, 0.000008 rate, 9.882747 seconds, 18944 images
297: 2.020927, 2.323364 avg, 0.000008 rate, 9.743793 seconds, 19008 images
298: 2.793357, 2.370363 avg, 0.000008 rate, 9.702640 seconds, 19072 images
299: 1.712316, 2.304558 avg, 0.000008 rate, 9.783218 seconds, 19136 images
300: 1.439134, 2.218016 avg, 0.000008 rate, 9.760051 seconds, 19200 images
301: 0.829022, 2.079117 avg, 0.000008 rate, 4.388438 seconds, 19264 images
302: 1.687588, 2.039964 avg, 0.000008 rate, 4.520560 seconds, 19328 images
303: 1.841582, 2.020126 avg, 0.000008 rate, 4.635535 seconds, 19392 images
304: 3.454979, 2.163611 avg, 0.000009 rate, 4.496612 seconds, 19456 images
305: 2.290600, 2.176310 avg, 0.000009 rate, 4.495498 seconds, 19520 images
306: 2.776551, 2.236334 avg, 0.000009 rate, 4.568606 seconds, 19584 images
307: 2.323647, 2.245065 avg, 0.000009 rate, 4.524417 seconds, 19648 images
308: 2.044719, 2.225031 avg, 0.000009 rate, 4.484017 seconds, 19712 images
309: 1.127291, 2.115257 avg, 0.000009 rate, 4.511009 seconds, 19776 images
310: 2.295805, 2.133311 avg, 0.000009 rate, 4.503343 seconds, 19840 images
311: 2.046997, 2.124680 avg, 0.000009 rate, 4.409644 seconds, 19904 images
312: 1.011308, 2.013343 avg, 0.000009 rate, 4.519403 seconds, 19968 images
313: 2.838495, 2.095858 avg, 0.000010 rate, 4.483655 seconds, 20032 images
314: 1.291209, 2.015393 avg, 0.000010 rate, 4.518078 seconds, 20096 images
315: 2.591144, 2.072968 avg, 0.000010 rate, 4.508568 seconds, 20160 images
316: 1.696636, 2.035335 avg, 0.000010 rate, 4.520620 seconds, 20224 images
317: 2.201598, 2.051961 avg, 0.000010 rate, 4.459993 seconds, 20288 images
318: 1.718303, 2.018595 avg, 0.000010 rate, 4.477628 seconds, 20352 images
319: 1.366616, 1.953398 avg, 0.000010 rate, 4.542572 seconds, 20416 images
320: 2.867359, 2.044794 avg, 0.000010 rate, 4.469098 seconds, 20480 images
321: 1.295423, 1.969857 avg, 0.000011 rate, 6.857864 seconds, 20544 images
322: 1.810919, 1.953963 avg, 0.000011 rate, 7.055670 seconds, 20608 images
323: 1.944245, 1.952991 avg, 0.000011 rate, 7.092783 seconds, 20672 images
324: 1.228818, 1.880574 avg, 0.000011 rate, 7.135911 seconds, 20736 images
325: 1.924108, 1.884927 avg, 0.000011 rate, 7.107747 seconds, 20800 images
326: 1.415101, 1.837945 avg, 0.000011 rate, 7.118890 seconds, 20864 images
327: 2.838790, 1.938029 avg, 0.000011 rate, 7.069061 seconds, 20928 images
328: 0.964700, 1.840696 avg, 0.000012 rate, 7.071369 seconds, 20992 images
329: 1.767723, 1.833399 avg, 0.000012 rate, 7.113818 seconds, 21056 images
330: 1.375905, 1.787649 avg, 0.000012 rate, 7.080974 seconds, 21120 images
331: 2.427883, 1.851673 avg, 0.000012 rate, 9.506796 seconds, 21184 images
